patient,frame,time_s,wrist_speed_mm_s,wrist_accel_mm_s2,wrist_path_mm,wrist_x,wrist_y
patient_169,0.0,0.0,,,0.0,484.4630813598633,237.13683128356934
patient_169,1.0,0.04,21.303019593482784,,0.8521207837393113,485.27923583984375,237.1711778640747
patient_169,2.0,0.08,23.023356526737544,43.008423331369,1.7730550448088132,485.02452850341797,238.01648139953613
patient_169,3.0,0.12,21.97827473079011,-26.12704489868589,2.6521860340404175,484.85164642333984,237.19163417816162
patient_169,4.0,0.16,15.468579849299807,-162.74237203725752,3.27092922801241,485.1144027709961,236.65985584259033
patient_169,5.0,0.2,7.114148364363798,-208.86078712340023,3.555495162586962,485.0967788696289,236.9320821762085
patient_169,6.0,0.24,10.5280919010214,85.34858841644004,3.976618838627818,485.11661529541016,237.33530044555664
patient_169,7.0,0.28,2.0709515390861886,-211.42850904838028,4.0594569001912655,485.0387954711914,237.35112190246582
patient_169,8.0,0.32,13.279721975339692,280.2192609063376,4.590645779204854,485.1956558227539,237.83557891845703
patient_169,9.0,0.36,20.61545388650556,183.39329777914668,5.4152639346650755,485.2634811401367,237.04798221588135
patient_169,10.0,0.4,25.611210900947622,124.89392536105157,6.43971237070298,485.11547088623047,238.01884174346924
patient_169,11.0,0.44,11.2501428920561,-359.026700222288,6.889718086385224,484.84031677246094,238.351092338562
patient_169,12.0,0.48,6.23391051374876,-125.40580945768352,7.139074506935174,484.6056365966797,238.30563068389893
patient_169,13.0,0.52,12.842627236025482,165.21791805691805,7.6527795963761935,484.3625259399414,238.73389720916748
patient_169,14.0,0.56,10.26258247150452,-64.50111911302403,8.063282895236375,484.6686553955078,238.98117542266846
patient_169,15.0,0.6,5.700209005653425,-114.05933664627739,8.291291255462511,484.79515075683594,238.80291938781738
patient_169,16.0,0.64,6.921554330379427,30.53363311815005,8.568153428677688,484.75040435791016,239.06453132629395
patient_169,17.0,0.68,10.793644414165046,96.80225209464047,8.99989920524429,484.3525695800781,239.17868614196777
patient_169,18.0,0.72,5.327849147584077,-136.64488166452423,9.213013171147653,484.3935012817383,239.37884330749512
patient_169,19.0,0.76,19.545176287111456,355.43317848818447,9.99482022263211,484.7233200073242,238.7058448791504
patient_169,20.0,0.8,10.546327542828324,-224.9712186070783,10.416673324345245,484.3733596801758,238.9085054397583
patient_169,21.0,0.84,8.817341240651354,-43.22465755442426,10.769366973971298,484.04308319091797,238.8361644744873
patient_169,22.0,0.88,20.981046989076525,304.09264371062926,11.608608853534358,483.63624572753906,238.14208030700684
patient_169,23.0,0.92,16.137916025217805,-121.078274096468,12.25412549454307,483.32691192626953,238.67803573608398
patient_169,24.0,0.96,8.024755235211483,-202.82901975015807,12.57511570395153,483.58116149902344,238.8513708114624
patient_169,25.0,1.0,21.262846451333736,330.9522804030563,13.42562956200488,482.9920196533203,239.41500663757324
patient_169,26.0,1.04,7.1699527670596925,-352.32234210685107,13.712427672687268,482.7195739746094,239.4519281387329
patient_169,27.0,1.08,10.175702858394395,75.14375228336756,14.119455787023044,482.5444793701172,239.8006296157837
patient_169,28.0,1.12,17.504928295379937,183.23063592463856,14.819652918838242,482.99163818359375,239.30002212524414
patient_169,29.0,1.16,8.650040581203244,-221.3721928544173,15.165654542086372,482.9613494873047,239.63032722473145
patient_169,30.0,1.2,9.534796264790844,22.11889208968998,15.547046392678006,482.83504486083984,239.2872190475464
patient_169,31.0,1.24,0.6320419749937166,-222.56885724492815,15.572328071677754,482.83782958984375,239.2631435394287
patient_169,32.0,1.28,16.853631729852808,405.5397438714773,16.246473340871866,483.2492446899414,238.7647533416748
patient_169,33.0,1.32,15.770233339481674,-27.084959759278338,16.877282674451134,483.36376190185547,239.35853004455566
patient_169,34.0,1.36,5.708767386910455,-251.53664881428045,17.10563336992755,483.5102081298828,239.1958236694336
patient_169,35.0,1.4,6.7248226824412125,25.401382388268946,17.374626277225197,483.2545471191406,239.16216373443604
patient_169,36.0,1.44,29.395831459226066,566.7752194196213,18.550459535594243,483.85398864746094,238.20756912231445
patient_169,37.0,1.48,20.053393115034314,-233.5609586047938,19.352595260195613,484.4586181640625,237.7324676513672
patient_169,38.0,1.52,9.205178700497434,-271.205360363422,19.720802408215512,484.10728454589844,237.76649951934814
patient_169,39.0,1.56,7.667475308841631,-38.442584791395085,20.027501420569177,484.3656539916992,237.6261806488037
patient_169,40.0,1.6,7.797485841431229,3.250263314739943,20.339400854226426,484.18163299560547,237.39051818847656
patient_169,41.0,1.64,4.269117397530103,-88.20921109752815,20.51016555012763,484.0470504760742,237.29732036590576
patient_169,42.0,1.68,6.640598406010646,59.28702521201359,20.77578948636806,483.87073516845703,237.11359977722168
patient_169,43.0,1.72,5.9732379293570474,-16.68401191633997,21.01471900354234,483.85547637939453,237.34213829040527
patient_169,44.0,1.76,1.1845709911331617,-119.71667345559713,21.062101843187666,483.90071868896484,237.34618663787842
patient_169,45.0,1.8,8.602209368882058,185.4409594437224,21.40619021794295,483.5997772216797,237.4812412261963
patient_169,46.0,1.84,4.59596117087315,-100.15620495022269,21.590028664777876,483.5639190673828,237.65378952026367
patient_169,47.0,1.88,6.04928010623094,36.33297338394475,21.831999869027115,483.42567443847656,237.84005641937256
patient_169,48.0,1.92,37.1232892089773,776.850227568659,23.316931437386206,484.71168518066406,238.45044136047363
patient_169,49.0,1.96,13.180704723009235,-598.5646121492016,23.844159626306578,484.38655853271484,238.06347370147705
patient_169,50.0,2.0,0.8310417681132,-308.74157387240086,23.877401297031106,484.3690872192383,238.03682327270508
patient_169,51.0,2.04,10.83281871962859,250.0444237878847,24.310714045816248,483.99375915527344,238.21480751037598
patient_169,52.0,2.08,0.7343750257655955,-252.46109234657484,24.340089046846874,484.00550842285156,238.18921566009521
patient_169,53.0,2.12,3.8519580693610878,77.93957608988731,24.49416736962132,484.11319732666016,238.08812141418457
patient_169,54.0,2.16,6.608091940322325,68.90334677403092,24.758491047234212,484.1522216796875,238.3384895324707
patient_169,55.0,2.2,5.802897857485568,-20.12985207091893,24.990606961533636,483.92982482910156,238.34575653076172
patient_169,56.0,2.24,12.828294767516509,175.6349227507735,25.503738752234295,483.65352630615234,238.7527370452881
