patient,frame,time_s,wrist_speed_mm_s,wrist_accel_mm_s2,wrist_path_mm,wrist_x,wrist_y
patient_099,0.0,0.0,,,0.0,457.1315002441406,275.9278106689453
patient_099,1.0,0.04,306.3782641384845,,12.25513056553938,468.25172424316406,279.71755027770996
patient_099,2.0,0.08,208.74268218707778,-2440.889548785168,20.60483785302249,471.8914794921875,286.8465042114258
patient_099,3.0,0.12,40.002702395990966,-4218.49949477717,22.20494594886213,471.7966079711914,288.3774948120117
patient_099,4.0,0.16,16.37754973947065,-590.6288164130079,22.860047938440953,471.9249725341797,287.7627468109131
patient_099,5.0,0.2,56.65966931062945,1007.05298927897,25.12643471086613,470.0432586669922,286.67667388916016
patient_099,6.0,0.24,35.84283100059737,-520.4209577508019,26.560147950890023,469.88555908203125,288.0420112609863
patient_099,7.0,0.28,16.408771199352984,-485.8514950311097,27.21649879886414,470.1948928833008,287.49409675598145
patient_099,8.0,0.32,16.745918373646717,8.428679357343327,27.886335533810012,469.9745178222656,286.89096450805664
patient_099,9.0,0.36,23.397083847269197,166.27913684056202,28.822218887700778,470.8716583251953,286.898832321167
patient_099,10.0,0.4,3.240642749381091,-503.9110274472026,28.951844597676022,470.94276428222656,286.7969226837158
patient_099,11.0,0.44,18.951547422713514,392.77261683331056,29.709906494584562,470.21820068359375,286.74113273620605
patient_099,12.0,0.48,121.38091206255733,2560.734115996095,34.56514297708685,474.74620819091797,287.81853675842285
patient_099,13.0,0.52,57.404228514153175,-1599.4170887101038,36.86131211765298,472.75482177734375,286.88063621520996
patient_099,14.0,0.56,24.401488801750823,-825.0684928100588,37.83737166972301,472.8936004638672,287.8059768676758
patient_099,15.0,0.6,33.646438714988136,231.12374783093284,39.18322921832254,471.6783142089844,287.3727607727051
patient_099,16.0,0.64,44.174789801606295,263.20877716545397,40.95022081038679,472.78308868408203,288.65681648254395
patient_099,17.0,0.68,40.05636303131968,-102.96066925716545,42.55247533163957,472.2742462158203,287.2075653076172
patient_099,18.0,0.72,12.415275469376745,-691.0271890485733,43.04908635041463,471.8667221069336,287.453670501709
patient_099,19.0,0.76,60.29175777622969,1196.9120576713235,45.46075666146382,470.6643295288086,289.4283199310303
patient_099,20.0,0.8,38.556467158361045,-543.382265446716,47.00301534779826,469.72862243652344,288.28362464904785
patient_099,21.0,0.84,17.43160976525814,-528.1214348275726,47.70027973840859,470.12535095214844,287.74566650390625
patient_099,22.0,0.88,11.569418782449416,-146.55477457021811,48.16305648970657,470.08533477783203,288.1874942779541
patient_099,23.0,0.92,25.043624853272544,336.8551517705782,49.16480148383747,469.9409866333008,287.23809242248535
patient_099,24.0,0.96,32.347976179889955,182.60878316543528,50.458720531033066,471.14315032958984,287.5437068939209
patient_099,25.0,1.0,44.743334280972554,309.883952527065,52.24845390227197,469.58919525146484,288.2709503173828
patient_099,26.0,1.04,17.419479858279715,-683.096360567321,52.945233096603154,470.25577545166016,288.22803497314453
patient_099,27.0,1.08,13.368704727274233,-101.26937827513704,53.47998128569412,470.74371337890625,288.07085037231445
patient_099,28.0,1.12,7.777678018477022,-139.77566771993028,53.791088406433204,470.45928955078125,288.16057205200195
patient_099,29.0,1.16,24.832545340097248,426.3716830405056,54.784390220037096,471.12133026123047,288.84498596191406
patient_099,30.0,1.2,12.807990751248214,-300.61386472122587,55.296709850087026,470.7341003417969,288.54289054870605
patient_099,31.0,1.24,19.42075039852377,165.31899118188886,56.07353986602798,470.32684326171875,287.9194164276123
patient_099,32.0,1.28,21.662108606135668,56.033955190297476,56.94002421027341,469.4987106323242,287.9839897155762
patient_099,33.0,1.32,35.18294369401438,338.0208771969677,58.34734195803398,470.45326232910156,287.030611038208
patient_099,34.0,1.36,17.780419556173403,-435.06310344602434,59.058558740280915,469.77203369140625,287.00268745422363
patient_099,35.0,1.4,17.220459670642125,-13.998997138281943,59.7473771271066,469.23545837402344,287.38755226135254
patient_099,36.0,1.44,16.998467278282632,-5.549809808987316,60.4273158182379,469.8537826538086,287.5938034057617
patient_099,37.0,1.48,26.468122694392104,236.7413854027368,61.48604072601359,470.2317428588867,286.65186882019043
patient_099,38.0,1.52,56.50185605301377,750.8433339655415,63.746114968134144,469.6528625488281,288.7397003173828
patient_099,39.0,1.56,43.13594996277152,-334.1476522560562,65.471552966645,470.2882766723633,287.2125434875488
patient_099,40.0,1.6,7.3457109650574735,-894.7559749428513,65.7653814052473,470.03658294677734,287.08608627319336
patient_099,41.0,1.64,24.651349096078345,432.6409532755218,66.75143536909043,470.56270599365234,287.8714084625244
patient_099,42.0,1.68,13.625687757073862,-275.64153347511206,67.29646287937338,471.08509063720703,287.8816509246826
patient_099,43.0,1.72,20.385834581334752,169.00367060652223,68.11189626262677,471.2587356567383,287.11947441101074
patient_099,44.0,1.76,4.121520302544701,-406.6078569697513,68.27675707472856,471.1049270629883,287.1558094024658
