patient,frame,time_s,wrist_speed_mm_s,wrist_accel_mm_s2,wrist_path_mm,wrist_x,wrist_y
patient_047,14.0,0.56,,,0.0,450.10059356689453,47.28195905685425
patient_047,15.0,0.6,200.98630543536288,,8.039452217414516,455.97179412841797,52.27454423904419
patient_047,16.0,0.64,102.85669432380696,-2453.240277788898,12.153719990366794,459.82505798339844,51.432945728302
patient_047,17.0,0.68,126.86560640594236,600.2228020533848,17.22834424660449,454.97947692871094,51.00166082382202
patient_047,18.0,0.72,80.37798100171311,-1162.1906351057312,20.443463486673014,452.38250732421875,52.6615834236145
patient_047,19.0,0.76,51.348607300557525,-725.7343425288897,22.497407778695315,451.21036529541016,51.07949137687683
patient_047,21.0,0.84,,,22.497407778695315,458.5694122314453,50.754250288009644
patient_047,22.0,0.88,224.74472515441343,,31.487196784871852,452.6617431640625,57.02870965003967
patient_047,23.0,0.92,55.06417144714506,-4242.013842681709,33.689763642757654,454.0154266357422,55.408265590667725
patient_047,24.0,0.96,136.89406497577966,2045.747338215865,39.16552624178885,449.9580383300781,52.07771301269531
patient_047,26.0,1.04,,,39.16552624178885,457.29259490966797,47.65436768531799
patient_047,27.0,1.08,249.1479989601839,,49.131446200196194,448.75659942626953,51.9451117515564
patient_047,29.0,1.16,,,49.131446200196194,452.1659851074219,45.8131742477417
patient_047,30.0,1.2,56.75313832466129,,51.40157173318264,451.4127731323242,47.85490393638611
patient_047,31.0,1.24,44.100376931865625,-316.3190348198917,53.16558681045727,452.6528549194336,49.00462746620178
patient_047,32.0,1.28,57.44679560306353,333.66046677994757,55.46345863457981,454.4106674194336,50.332242250442505
patient_047,33.0,1.32,32.72347804866619,-618.0829388599335,56.77239775652646,455.4940414428711,50.96535086631775
patient_047,34.0,1.36,174.24029465885323,3537.9204152546763,63.74200954288059,448.9027404785156,52.05857992172241
patient_047,35.0,1.4,146.62799384374907,-690.3075203776041,69.60712929663055,453.94039154052734,54.55557703971863
patient_047,36.0,1.44,25.99217680381783,-3015.895425998281,70.64681636878326,453.9943313598633,53.56035232543945
patient_047,37.0,1.48,62.84254531854732,921.2592128682375,73.16051818152515,451.6038513183594,53.25633645057678
patient_047,38.0,1.52,29.048345215982447,-844.8550025641218,74.32245199016444,451.3310241699219,52.17638969421387
patient_047,39.0,1.56,78.15545045059451,1227.6776308653016,77.44867000818823,449.11144256591797,54.19008493423462
patient_047,40.0,1.6,91.39229251315864,330.92105156410304,81.10436170871458,451.7234420776367,51.853652000427246
patient_047,41.0,1.64,64.52226803189338,-671.7506120316316,83.6852524299903,450.2376937866211,53.83202075958252
patient_047,42.0,1.68,41.86784868669182,-566.3604836300389,85.35996637745798,451.34239196777344,52.667073011398315
patient_047,43.0,1.72,31.1206118688991,-268.680920444818,86.60479085221395,450.1646041870117,52.47505187988281
patient_047,44.0,1.76,76.40840299316962,1132.194778106763,89.66112697194075,452.65880584716797,54.012393951416016
patient_047,45.0,1.8,55.60832028044076,-520.0020678182215,91.88545978315837,453.2773971557617,51.97175860404968
patient_047,46.0,1.84,57.963041794543365,58.86803785256518,94.20398145494009,451.4527893066406,53.24096202850342
patient_047,47.0,1.88,88.35118941528359,759.7036905185055,97.73802903155143,454.8271942138672,53.542810678482056
patient_047,48.0,1.92,27.6708282732387,-1517.0090285511221,98.84486216248098,454.52632904052734,54.56031560897827
patient_047,49.0,1.96,67.46514050821865,994.8578058744989,101.54346778280973,451.9662857055664,54.18789267539978
patient_047,50.0,2.0,53.18629217338775,-356.9712083707726,103.67091946974524,450.49304962158203,52.777583599090576
patient_047,54.0,2.16,,,103.67091946974524,457.0981979370117,49.44429874420166
patient_047,55.0,2.2,69.71649761735898,,106.4595793744396,454.7201919555664,50.66566228866577
patient_047,56.0,2.24,20.367405375805514,-1233.7273060388366,107.27427558947181,454.4432067871094,49.935429096221924
patient_047,57.0,2.28,16.516568392424848,-96.27092458451668,107.9349383251688,454.10133361816406,49.40228819847107
patient_047,58.0,2.32,82.85247520429306,1658.3976702967054,111.24903733334052,451.89090728759766,51.68428659439087
patient_047,59.0,2.36,49.230070828752126,-840.5601093885233,113.21824016649062,451.0624694824219,53.3805513381958
patient_047,60.0,2.4,22.306340460087775,-673.0932592166088,114.11049378489413,450.24410247802734,53.62934589385986
patient_047,61.0,2.44,58.34167885359609,900.883459837708,116.44416093903797,451.8198776245117,52.04134225845337
patient_047,62.0,2.48,96.57968685942899,955.9502001458224,120.30734841341513,453.7601852416992,48.88691425323486
patient_047,63.0,2.52,97.73608197972067,28.909878007291923,124.21679169260395,452.96913146972656,52.550225257873535
patient_047,64.0,2.56,15.817317247560844,-2047.9691183039954,124.84948438250638,452.72212982177734,53.10417652130127
patient_047,66.0,2.64,,,124.84948438250638,456.3486099243164,50.16463279724121
patient_047,67.0,2.68,84.51945532686737,,128.23026259558108,459.57977294921875,49.91297364234924
patient_047,68.0,2.72,76.24400067362421,-206.886366331079,131.28002262252605,460.00370025634766,47.02025055885315
patient_047,69.0,2.76,58.08405310375962,-453.9986892466148,133.60338474667643,459.4199752807617,49.169665575027466
patient_047,70.0,2.8,53.56686644011298,-112.92966659116601,135.74605940428094,457.5168228149414,48.39691400527954
patient_047,71.0,2.84,16.184385677605526,-934.5620190626864,136.39343483138518,456.9845199584961,48.71597170829773
patient_047,72.0,2.88,65.08537645233366,1222.5247693682034,138.9968498894785,455.36651611328125,46.8157696723938
patient_047,73.0,2.92,41.39979427223608,-592.1395545024395,140.65284166036795,455.09151458740234,48.379268646240234
patient_047,74.0,2.96,33.822055378355174,-189.44347234702263,142.00572387550218,456.2068176269531,49.041173458099365
patient_047,75.0,3.0,58.80844282853551,624.6596862545084,144.3580615886436,457.2528839111328,51.038914918899536
patient_047,76.0,3.04,3.474475871920691,-1383.3491739153706,144.49704062352043,457.38330841064453,51.06611609458923
patient_047,77.0,3.08,151.9865584044159,3712.8020633123797,150.57650295969705,451.5818786621094,50.510090589523315
patient_047,78.0,3.12,92.5824272931802,-1485.103277780892,154.27980005142427,450.8653259277344,53.98715257644653
patient_047,79.0,3.16,77.05104648511085,-388.2845202017339,157.3618419108287,449.4186019897461,51.41101956367493
patient_047,83.0,3.32,,,157.3618419108287,452.4930953979492,44.754377603530884
patient_047,84.0,3.36,48.326589834967365,,159.2949055042274,453.6696243286133,46.18609070777893
patient_047,85.0,3.4,27.584833743825804,-518.543902278539,160.3982988539804,454.7117614746094,46.0049843788147
patient_047,86.0,3.44,81.66114943977182,1351.9078923986503,163.66474483157128,457.4322509765625,47.555551528930664
patient_047,87.0,3.48,36.672967611920285,-1124.7045456962883,165.13166353604808,457.4923324584961,48.960514068603516
patient_047,88.0,3.52,73.46611575679627,919.8287036218996,168.07030816631993,454.8130416870117,48.09019088745117
patient_047,89.0,3.56,163.0548289388884,2239.717829552303,174.59250132387544,457.3659133911133,53.797709941864014
patient_047,90.0,3.6,137.05302585100122,-650.0450771971792,180.0746223579155,452.4729919433594,51.879812479019165
patient_047,91.0,3.64,134.25935304880142,-69.8418200549952,185.44499647986754,447.33314514160156,52.17391490936279
patient_047,93.0,3.72,,,185.44499647986754,450.7970428466797,42.09129810333252
patient_047,94.0,3.76,163.1648139355036,,191.9715890372877,453.5947036743164,47.6876163482666
patient_047,95.0,3.8,107.24325605836594,-1398.0389469284412,196.26131927962234,457.4567413330078,46.27491474151611
patient_047,96.0,3.84,105.43271670374529,-45.26348386551646,200.47862794777214,453.6818313598633,44.827526807785034
patient_047,97.0,3.88,72.34126681543646,-827.2862472077207,203.37227862038958,454.4183349609375,47.501935958862305
patient_047,98.0,3.92,27.297974399097555,-1126.0823104084725,204.46419759635347,453.40057373046875,47.74660348892212
patient_047,99.0,3.96,40.40665994375368,327.71713861640313,206.08046399410364,452.8385925292969,49.19051170349121
patient_047,100.0,4.0,59.50105513391699,477.3598797540828,208.46050619946033,450.87249755859375,48.032848834991455
patient_047,101.0,4.04,79.57156833345834,501.7628299885338,211.64336893279867,449.15069580078125,50.55184364318848
patient_047,102.0,4.08,49.74291728927914,-745.7162761044801,213.6330856243698,449.9515914916992,48.82071018218994
patient_047,103.0,4.12,35.75963530137777,-349.5820496975343,215.06347103642491,448.6591339111328,48.36266040802002
patient_047,104.0,4.16,67.59299304477456,795.8339435849198,217.76719075821592,447.5709533691406,50.71505784988403
patient_047,105.0,4.2,86.0663372465387,461.83360504410336,221.20984424807747,450.4247283935547,52.37268090248108
patient_047,106.0,4.24,72.57510627414497,-337.2807743098431,224.11284849904325,453.1848907470703,52.72797346115112
patient_047,107.0,4.28,54.47605397148389,-452.476307566527,226.2918906579026,451.24961853027344,51.941657066345215
patient_047,108.0,4.32,53.896030716368436,-14.500581377886412,228.44773188655734,453.3158493041992,51.984511613845825
patient_047,109.0,4.36,205.04962299617029,3778.8398069950463,236.64971680640414,445.4727554321289,51.42890453338623
patient_047,111.0,4.44,,,236.64971680640414,450.15220642089844,45.61154007911682
patient_047,112.0,4.48,13.13261713490794,,237.17502149180046,450.6554412841797,45.630125999450684
patient_047,113.0,4.52,133.1537964883406,3000.529483835816,242.5011733513341,455.29247283935547,47.767356634140015
patient_047,114.0,4.56,33.31332057194793,-2496.011897909816,243.833706174212,454.0985107421875,47.3132050037384
patient_047,115.0,4.6,20.09100446113835,-330.5579027702396,244.63734635265754,453.8627624511719,48.04664969444275
patient_047,116.0,4.64,77.69508487610281,1440.1020103741114,247.74514974770165,455.0164794921875,50.79345703125
patient_047,117.0,4.68,31.34999212901009,-1158.627318677318,248.99914943286205,454.27955627441406,49.84368324279785
patient_047,118.0,4.72,21.984707698201213,-234.13211077022194,249.87853774079014,454.25952911376953,50.68646192550659
patient_047,119.0,4.76,55.79270508909372,845.1999347723128,252.1102459443539,456.39102935791016,50.50273060798645
patient_047,120.0,4.8,52.43150678633455,-84.02995756897926,254.20750621580726,456.2493133544922,48.49721431732178
patient_047,121.0,4.84,35.85365223396887,-414.446363809142,255.64165230516602,457.52269744873047,47.97890067100525
patient_047,122.0,4.88,93.81893150604948,1449.1319818020152,259.394409565408,460.5672073364258,46.06232285499573
patient_047,123.0,4.92,112.35492716393622,463.3998914471686,263.88860665196546,456.82167053222656,48.19129943847656
patient_047,124.0,4.96,319.905578966948,5188.766295075294,276.6848298106434,460.8388900756836,59.781832695007324
patient_047,125.0,5.0,398.9492758802749,1976.0924228331733,292.6428008458544,474.4919204711914,52.88097023963928
patient_047,126.0,5.04,170.52634773270213,-5710.57320368932,299.4638547551625,480.6719207763672,55.01761436462402
patient_047,127.0,5.08,360.3537515450025,4745.68509530751,313.87800481696263,478.4375762939453,68.6537504196167
patient_047,128.0,5.12,434.64263558047975,1857.2221008869305,331.2637102401818,473.35819244384766,84.52751398086548
patient_047,129.0,5.16,413.8458921394657,-519.9185860253508,347.81754592576044,467.09972381591797,99.11044836044312
patient_047,130.0,5.2,562.6792335702854,3720.8335357704927,370.3247152685718,456.9517135620117,118.15127849578857
patient_047,131.0,5.24,523.3590512334406,-983.0045584211206,391.2590773179095,444.88441467285156,134.18641090393066
patient_047,132.0,5.28,381.67254831757845,-3542.1625728965537,406.5259792506126,437.7461242675781,146.96300983428955
patient_047,133.0,5.32,253.37533077738092,-3207.430438504938,416.6609924817078,434.1614532470703,155.99337100982666
patient_047,134.0,5.36,166.65098851697374,-2168.1085565101794,423.3270320223868,433.5379409790039,162.35321044921875
patient_047,135.0,5.4,135.9211747965121,-768.2453430115409,428.76387901424727,430.3415298461914,166.4699649810791
